Year Month,Postal Code,Customer Class,Total Gallons
201203,78753,Irrigation - Multi-Family,2261800
201203,78753,Irrigation - Residential,0
201203,78753,Multi-Family,53441800
201203,78753,Residential,39272500
201203,78754,Irrigation - Multi-Family,910700
201203,78754,Irrigation - Residential,0
201203,78754,Multi-Family,12458900
201203,78754,Residential,17634800
201203,78756,Irrigation - Multi-Family,49600
201203,78756,Irrigation - Residential,2100
201203,78756,Multi-Family,5377100
201203,78756,Residential,9662200
201203,78757,Irrigation - Multi-Family,24300
201203,78757,Irrigation - Residential,56400
201203,78757,Multi-Family,13848200
201203,78757,Residential,29099000
201203,78758,Irrigation - Multi-Family,1020500
201203,78758,Irrigation - Residential,0
201203,78758,Multi-Family,42000100
201203,78758,Residential,38002900
201203,78759,Irrigation - Multi-Family,641000
201203,78759,Irrigation - Residential,34900
201203,78759,Multi-Family,35350500
201203,78759,Residential,48451600
201204,,Irrigation - Residential,29700
201204,78613,Irrigation - Multi-Family,58000
201204,78613,Multi-Family,25500
201204,78617,Multi-Family,2377800
201204,78617,Residential,18457200
201204,78652,Irrigation - Residential,19500
201204,78652,Multi-Family,313900
201204,78652,Residential,797700
201204,78653,Multi-Family,81900
201204,78653,Residential,1016600
201204,78660,Irrigation - Residential,12900
201204,78660,Multi-Family,142400
201204,78660,Residential,7731300
201204,78701,Irrigation - Multi-Family,177200
201204,78701,Multi-Family,12925300
201204,78701,Residential,1116900
201204,78702,Irrigation - Multi-Family,502200
201204,78702,Irrigation - Residential,37100
201204,78702,Multi-Family,9086300
201204,78702,Residential,26566200
201204,78703,Irrigation - Multi-Family,348300
201204,78703,Irrigation - Residential,1041600
201204,78703,Multi-Family,11657200
201204,78703,Residential,47139500
201204,78704,Irrigation - Multi-Family,770100
201204,78704,Irrigation - Residential,162400
201204,78704,Multi-Family,44992300
201204,78704,Residential,43624800
201204,78705,Irrigation - Multi-Family,360800
201204,78705,Irrigation - Residential,42700
201204,78705,Multi-Family,31638900
201204,78705,Residential,9427900
201204,78712,Residential,0
201204,78717,Irrigation - Multi-Family,2401100
201204,78717,Irrigation - Residential,9400
201204,78717,Multi-Family,7955500
201204,78717,Residential,37056200
201204,78719,Multi-Family,583800
201204,78719,Residential,1472900
201204,78721,Irrigation - Multi-Family,0
201204,78721,Irrigation - Residential,1900
201204,78721,Multi-Family,4098200
201204,78721,Residential,15055400
201204,78722,Irrigation - Multi-Family,0
201204,78722,Multi-Family,2374100
201204,78722,Residential,8156000
201204,78723,Irrigation - Multi-Family,129000
201204,78723,Multi-Family,19670700
201204,78723,Residential,33818100
201204,78724,Irrigation - Multi-Family,0
201204,78724,Irrigation - Residential,32000
201204,78724,Multi-Family,10940900
201204,78724,Residential,19126400
201204,78725,Multi-Family,227100
201204,78725,Residential,2099200
201204,78726,Irrigation - Multi-Family,2657700
201204,78726,Irrigation - Residential,32100
201204,78726,Multi-Family,11272400
201204,78726,Residential,16910100
201204,78727,Irrigation - Multi-Family,3120000
201204,78727,Irrigation - Residential,5600
201204,78727,Multi-Family,17900400
201204,78727,Residential,37695900
201204,78728,Irrigation - Multi-Family,865000
201204,78728,Multi-Family,6612100
201204,78728,Residential,4507800
201204,78729,Irrigation - Multi-Family,1474400
