"","TCAD.or.WCAD.Property.ID..s.","Duct.System.1...Type","Duct.System.1...RValue","Duct.System.1...Return.Sizing","Duct.System.1.....Leakage","System.1...Location.Air.Handler","System.1...Air.Handler.Type","System.1...Age..years.","System.1...sqft.ton","Water.Heater...Fuel.Type","Water.Heating...Tank.Type","Toilet.Type","Programmable.Thermostat.Present","Window.Screen.Area.Recommended..sqft.","Furnace...Fuel.Type","Attic.R.Value","Recommended.Additional.R.Value","Year.Built","Bedrooms","Conditioned..sqft.","Attic..sqft.","Home_Type","Lat","Long","set","NeedsDuctFixed"
"8161","216290","Sheet_Metal",6,"Inadequate",8,"Closet","Up Flow",7,580,"Gas","Tank","Water_Saving","Y",0,"Gas",0,0,1948,3,1160,1160,"Single Family",30.3085261650004,-97.7172665489997,"train","0"
"8162","255186","Grey_Flex",8,"Adequate",18,"Attic","Horizontal",16,522,"Gas","Tank","Water_Saving","N",0,"Gas",19.8,18.2,1979,3,1306,1306,"Single Family",30.3824131880004,-97.7084959959997,"train","0"
"8165","504764","Mylar_Flex",6,"Inadequate",18.8,"Garage","Up Flow",8,504.6,"Gas","Tank","Water_Saving","N",46,"Gas",15,23,1980,3,1514,1015,"Single Family",30.4153729370005,-97.7270888569997,"test","0"
"8167","247386","Sheet_Metal",8,"Adequate",9,"Attic","Horizontal",10,554,"Gas","Tank","Water_Saving","N",0,"Gas",17.4,20.6,1970,4,2217,2217,"Single Family",30.3652771500005,-97.7051760949997,"train","0"
"8169","496634","Grey_Flex",4,"Adequate",21,"Closet","Up Flow",29,440,"Elec","Tank","Standard","Y",12,"Elec",19,19,1983,2,1100,1100,"Town Homes",30.4315923500005,-97.8013563359997,"test","0"
"8172","511731","Duct_Board",4,"Adequate",22,"Closet","Up Flow",20,523,"Gas","Tank","Water_Saving","Y",43,"Gas",30,8,1977,3,1308,1300,"Single Family",30.2120571920005,-97.8160557799997,"train","0"
"8173","311920","Sheet_Metal",6.6,"Adequate",11,"Closet","Up Flow",13,496,"Elec","Tank","Water_Saving","Y",0,"Elec",33.7,4.3,1973,3,1154,1154,"Single Family",30.2357773620005,-97.8859738459997,"train","0"
"8175","334221","Mylar_Flex",6,"Adequate",11,"Attic","Horizontal",17,387,"Gas","Tank","Water_Saving","Y",0,"Elec",32,0,1996,3,1551,1551,"Single Family",30.1997961840004,-97.8363364259997,"test","0"
"8177","350338","Mylar_Flex",6,"Adequate",12.3,"Attic","Horizontal",7,402,"Gas","Tank","Water_Saving","Y",90,"Gas",11,27,1983,2,1207,1207,"Town Homes",30.1361623920005,-97.7587361769997,"train","0"
"8178","446898","Mylar_Flex",6,"Adequate",15,"Attic","Horizontal",16,430.8,"Gas","Tank","Standard","Y",0,"Gas",30,8,1998,3,1723,1500,"Single Family",30.2088509940004,-97.8721529709997,"test","0"
"8179","224763","Sheet_Metal",4,"Adequate",13,"Attic","Horizontal",14,450,"Elec","Tank","Water_Saving","N",30,"Elec",28,0,1940,3,1350,1350,"Single Family",30.3200066470005,-97.7433164519997,"train","0"
"8180","342708","Mylar_Flex",8,"Adequate",42,"Attic","Horizontal",1,602,"Elec","Tank","Standard","Y",28,"Elec",19,19,1992,4,3010,1500,"Single Family",30.1825274920005,-97.8574959029997,"test","1"
"8181","260285","Grey_Flex",6,"Adequate",21,"Closet","Up Flow",13,541,"Gas","Tank","Water_Saving","N",0,"Gas",26.4,11.6,1983,4,1896,1896,"Single Family",30.3956335670005,-97.7036351779997,"test","0"
"8185","323645","Grey_Flex",8,"Adequate",11,"Attic","Horizontal",7,442,"Gas","Tank","Water_Saving","Y",0,"Gas",21,17,1973,3,1106,1106,"Single Family",30.2064146650005,-97.8110421749997,"train","0"
"8187","339830","Grey_Flex",4,"Inadequate",9.6,"Closet","Up Flow",6,474,"Gas","Tank","Water_Saving","Y",50,"Gas",23,15,1983,3,1186,0,"Single Family",30.1888131540005,-97.8309663119997,"train","0"
"8188","238239","Duct_Board",6,"Adequate",10,"Closet","Up Flow",12,443,"Gas","Tank","Water_Saving","Y",81,"Gas",19,19,1964,3,1330,1300,"Single Family",30.3466641530005,-97.6934445189997,"train","0"
"8191","286669","Duct_Board",6,"Inadequate",16,"Closet","Up Flow",10,550,"Elec","Tank","Water_Saving","Y",0,"Gas",25,0,1967,2,1101,550,"Condo",30.2364939290005,-97.7476774479996,"train","0"
"8192","439673","Grey_Flex",6,"Inadequate",20,"Closet","Up Flow",9,574,"Gas","Tank","Water_Saving","N",29,"Gas",22,16,1984,3,2472,1324,"Single Family",30.4099068860004,-97.7655703229997,"train","0"
"8193","266460","Grey_Flex",4,"Inadequate",21,"Closet","Up Flow",20,432.4,"Gas","Tank","Water_Saving","N",0,"Gas",35,0,1983,3,1081,1081,"Single Family",30.4159260560004,-97.7008174679997,"train","0"
"8195","261219","Mylar_Flex",6,"Adequate",18,"Closet","Up Flow",6,582,"Elec","Tank","Water_Saving","Y",241,"Gas",44,0,1994,3,2328,1350,"Single Family",30.3946362940005,-97.6583516479997,"train","0"
"8196","378639","Duct_Board",6,"Adequate",17,"Garage","Up Flow",15,430,"Gas","Tank","Water_Saving","Y",0,"Gas",17.4,20.6,1975,3,1508,720,"Single Family",30.4287768990005,-97.7078966839996,"train","0"
"8197","505051","Grey_Flex",4,"Inadequate",23.2,"Garage","Up Flow",5,584,"Gas","Tank","Water_Saving","Y",120,"Gas",16,22,1980,3,1460,1098,"Single Family",30.4158549920004,-97.7209832249997,"train","0"
"8198","252208","Duct_Board",5,"Adequate",28,"","Horizontal",13,425,"Elec","Tank","Standard","N",0,"Elec",15,23,1981,2,850,500,"Duplex",30.3708261080005,-97.6981584689997,"train","1"
"8199","209743","Mylar_Flex",6,"Adequate",14,"Attic","Horizontal",1,444,"Gas","Tank","Water_Saving","N",74,"Gas",29,9,1998,2,888,888,"Single Family",30.2914434260005,-97.6774384079997,"train","0"
"8200","381335","Mylar_Flex",4,"Adequate",19,"Closet","Up Flow",2,604,"Gas","Tank","Water_Saving","Y",0,"Gas",26.4,11.6,1995,4,1813,1813,"Single Family",30.1887859130005,-97.8396338219997,"train","0"
"8201","344792","Mylar_Flex",6,"Adequate",18,"Closet","Up Flow",1,466,"Gas","Tank","Water_Saving","N",0,"Gas",22,19,1984,3,1483,1000,"Single Family",30.1769501080005,-97.8319008119997,"train","0"
"8204","306261","Mylar_Flex",4,"Inadequate",9,"Closet","Up Flow",13,554,"Elec","Tank","Water_Saving","Y",0,"Elec",40,0,1979,3,1939,1939,"Single Family",30.2457631180005,-97.8290369099997,"train","0"
"8205","501207","Sheet_Metal",2,"Adequate",22,"Closet","Up Flow",10,487,"Gas","Tank","Water_Saving","Y",126,"Gas",17,21,1973,4,1707,1707,"Single Family",30.3783009170004,-97.6642109219997,"train","0"
"8209","167339","Sheet_Metal",4,"Inadequate",16,"Closet","Up Flow",20,480,"Gas","Tank","Standard","Y",0,"Gas",18,20,1979,4,2402,1200,"Single Family",30.4277369880004,-97.7682980189997,"train","0"
"8211","497132","Sheet_Metal",5,"Adequate",35,"Closet","Up Flow",11,478,"Gas","Tank","Water_Saving","Y",78,"Gas",19,19,1980,3,2392,1000,"Single Family",30.3799602750005,-97.7566398749997,"train","1"
"8213","335598","Mylar_Flex",6,"Inadequate",21,"Closet","Up Flow",19,550,"Elec","Tank","Water_Saving","N",7,"Elec",9,26,1978,3,1102,1100,"Single Family",30.1901408770005,-97.7560192449997,"train","0"
"8214","496733","Sheet_Metal",4,"Adequate",9.25,"Attic","Horizontal",20,533.3,"Gas","Tank","Standard","Y",100,"Gas",30,8,1969,4,2708,2000,"Single Family",30.3813164240005,-97.7499230889997,"train","0"
"8215","318785","Mylar_Flex",4,"Inadequate",24,"Attic","Horizontal",9,390,"Elec","Tank","Water_Saving","N",0,"Elec",18,20,1993,4,2502,1335,"Single Family",30.2215123330005,-97.8749422559997,"train","0"
"8216","316570","Mylar_Flex",6,"Adequate",19,"Attic","Horizontal",11,596,"Gas","Tank","Water_Saving","Y",80,"Gas",21,17,1935,2,1490,1490,"Single Family",30.2194573820005,-97.7710067629997,"train","0"
"8217","321895","Duct_Board",4,"Adequate",13,"Closet","Up Flow",9,492,"Gas","Tank","Water_Saving","Y",0,"Gas",24,0,1987,3,1486,1476,"Single Family",30.2148156810005,-97.8716330149997,"train","0"
"8218","369538","Mylar_Flex",6,"Adequate",6,"Attic","Horizontal",5,482,"Gas","Tank","Water_Saving","Y",34,"Gas",24,14,1996,4,1928,1770,"Single Family",30.3969068080004,-97.6571364439997,"train","0"
